SPAN = 4600 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
500,"6.76
2.58
11.68","8.11
2.74
12.35","8.21
2.92
12.88","9.25
3.10
13.75","9.77
3.32
14.36","10.58
3.49
15.20","11.28
3.69
15.97","11.84
3.87
16.60","12.22
4.07
17.15","12.83
4.26
17.83","13.70
4.43
18.61","14.40
4.66
19.34","15.80
4.83
19.97"
550,"7.50
3.18
11.81","9.00
3.37
12.63","9.11
3.59
13.15","10.26
3.81
14.03","10.84
4.08
14.65","11.74
4.29
15.51","12.52
4.54
16.13","13.14
4.76
16.82","13.56
4.99
17.37","14.24
5.23
18.32","15.20
5.44
18.99","15.98
5.72
19.65","17.53
5.93
20.22"
600,"8.31
3.89
12.21","9.98
4.12
12.99","10.10
4.41
13.51","11.37
4.67
14.28","12.01
5.01
14.89","13.02
5.27
15.76","13.87
5.56
16.50","14.56
5.84
17.21","15.03
6.12
17.84","15.78
6.41
18.60","16.85
6.68
19.20","17.71
7.01
20.06","19.43
7.28
20.75"
650,"9.05
4.61
12.37","10.87
4.89
13.24","11.00
5.22
13.76","12.38
5.54
14.48","13.08
5.93
15.23","14.17
6.24
16.15","15.11
6.59
16.77","15.86
6.92
17.79","16.37
7.25
18.34","17.19
7.60
19.02","18.35
7.91
19.62","19.28
8.31
20.39","19.86
8.62
20.97"
700,"9.79
5.40
12.82","11.76
5.73
13.42","11.90
6.11
13.94","13.40
6.48
14.81","14.15
6.94
15.63","15.33
7.30
16.68","16.34
7.71
17.39","17.16
8.09
18.02","17.70
8.48
18.56","18.60
8.88
19.25","19.85
9.25
20.07","19.86
9.71
20.72","19.86
10.08
21.30"
750,"10.53
6.24
13.01","12.65
6.61
13.61","12.80
7.06
14.13","14.41
7.49
15.49","15.22
8.02
16.10","16.49
8.44
17.00","17.58
8.91
17.73","18.46
9.35
18.35","19.04
9.81
18.90","19.86
10.27
19.71","19.86
10.70
20.31","19.86
11.22
20.97","19.86
11.66
21.54"
800,"11.35
7.24
13.52","13.62
7.67
14.52","13.79
8.19
15.04","15.52
8.69
15.95","16.40
9.30
16.66","17.77
9.79
17.37","18.93
10.34
18.00","19.86
10.84
18.75","19.86
11.37
19.30","19.86
11.90
19.99","19.86
12.40
20.58","19.86
13.01
21.24","19.86
13.52
21.81"
850,"12.09
8.21
13.86","14.51
8.70
14.88","14.69
9.29
15.40","16.53
9.86
16.29","17.47
10.55
16.91","18.93
11.09
17.62","19.86
11.73
18.38","19.86
12.30
19.01","19.86
12.90
19.56","19.86
13.50
20.24","19.86
14.07
20.84","19.86
14.75
21.49","19.86
15.33
22.07"
900,"12.83
9.24
14.34","15.40
9.80
15.33","15.59
10.46
15.85","17.55
11.10
16.55","18.54
11.88
17.16","19.86
12.50
18.02","19.86
13.20
18.64","19.86
13.85
19.27","19.86
14.52
19.81","19.86
15.20
20.50","19.86
15.84
21.10","19.86
16.60
21.75","19.86
17.26
22.33"
950,"13.57
10.34
14.77","16.29
10.96
15.58","16.49
11.70
16.10","18.56
12.42
16.80","19.61
13.29
17.56","19.86
13.98
18.28","19.86
14.77
18.90","19.86
15.49
19.53","19.86
16.24
20.08","19.86
17.00
20.76","19.86
17.72
21.36","19.86
18.56
22.01","19.86
19.29
22.59"
SPAN= 10400 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"4.01
0.98
11.09","4.81
1.04
11.84","4.87
1.11
12.33","5.48
1.17
13.03","5.79
1.26
13.60","6.28
1.33
14.32","6.69
1.40
15.14","7.03
1.47
15.77","7.25
1.53
16.28","7.61
1.62
17.05","8.13
1.67
17.62","8.54
1.78
18.27","9.21
1.82
18.81"
400,"4.68
1.32
11.19","5.61
1.40
11.94","5.68
1.49
12.43","6.40
1.58
13.13","6.76
1.70
13.87","7.32
1.79
14.66","7.80
1.89
15.25","8.19
1.98
15.87","8.45
2.08
16.48","8.88
2.18
17.16","9.48
2.26
17.72","9.96
2.39
18.38","10.56
2.47
18.92"
450,"5.33
1.71
11.37","6.40
1.81
12.05","6.48
1.94
12.54","7.29
2.05
13.41","7.71
2.20
14.06","8.35
2.31
14.77","8.90
2.45
15.45","9.34
2.57
16.08","9.64
2.69
16.59","10.12
2.82
17.28","10.81
2.93
17.84","11.36
3.09
18.60","11.83
3.20
19.14"
500,"5.99
2.15
11.48","7.19
2.28
12.17","7.28
2.44
12.66","8.19
2.58
13.61","8.65
2.77
14.18","9.38
2.91
14.99","9.99
3.08
15.70","10.49
3.23
16.33","10.82
3.39
16.84","11.37
3.55
17.53","12.14
3.69
18.09","12.75
3.88
18.75","13.03
4.02
19.29"
