OWSJ                                                                                                            Uniform Load (kN/m),,,,,,,,,,,,,,
Span,Depth,Factored Load,4.5,6.3,8.1,9.9,11.7,13.5,15.3,17.1,18.9,20.7,22.5,24.3
8,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.1,9.9,11.4,12.0,15.0,16.7,19.5,20.1,20.5,24.6,26.0,26.4
8,508,WL/360 (kN/m),3,4,5,5,6,7,8,9,9,11,11,11
8,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.4,10.1,11.3,12.2,13.3,16.5,17.1,19.8,21.3,20.9,24.0,26.3
8,559,WL/360 (kN/m),3,4,5,6,7,8,8,10,11,11,13,14
8,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.4,10.1,10.2,11.8,12.4,15.7,16.1,16.2,19.2,20.7,20.8,24.7
8,610,WL/360 (kN/m),3,4,5,7,8,9,9,10,12,13,13,16
8,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.5,9.6,10.6,12.1,12.7,14.2,16.3,16.4,19.2,19.8,21.1,22.6
8,660,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
8,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.6,9.7,10.7,11.9,12.1,13.6,16.5,16.7,17.1,19.8,21.3,21.5
8,711,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
8,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
8,,Self Wt (kg/m),9.8,10.0,10.8,12.1,12.7,13.7,15.2,16.9,17.1,19.4,20.2,21.6
8,762,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
8,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.5,11.6,14.7,16.8,19.0,23.4,24.6,28.2,30.2,33.0,38.3,42.2
9,406,WL/360 (kN/m),2,2,3,3,4,5,5,5,6,6,7,8
9,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
9,,Self Wt (kg/m),9.7,11.7,13.1,15.5,18.4,20.2,24.1,25.7,26.6,30.1,32.8,37.3
9,457,WL/360 (kN/m),2,3,3,4,5,5,6,6,7,8,8,9
9,,Bridg. (H/X/EX),2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.8,11.3,12.7,15.0,17.0,19.6,22.2,23.8,25.9,27.2,30.5,31.4
9,508,WL/360 (kN/m),3,3,4,4,5,6,7,7,8,8,9,9
9,,Bridg. (H/X/EX),2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.9,10.1,12.0,13.5,16.0,18.4,20.5,22.3,24.2,26.2,27.8,30.3
9,559,WL/360 (kN/m),3,3,5,5,6,7,7,9,9,10,10,11
9,,Bridg. (H/X/EX),2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.4,10.2,11.7,13.4,15.4,17.1,20.0,21.4,22.6,24.1,26.8,28.1
9,610,WL/360 (kN/m),3,4,5,6,6,7,8,9,10,11,11,12
9,,Bridg. (H/X/EX),2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.5,10.4,11.7,12.7,15.7,16.4,18.0,19.6,20.8,24.1,25.0,28.6
9,660,WL/360 (kN/m),3,4,5,6,8,8,9,10,11,13,13,14
9,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.7,10.4,11.7,13.0,14.2,16.4,16.7,19.8,21.4,21.5,25.2,25.4
9,711,WL/360 (kN/m),3,4,5,7,8,9,9,11,12,12,15,15
9,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.8,10.5,10.9,12.6,13.5,16.6,16.9,17.3,20.2,21.9,22.1,25.7
9,762,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,14,16
9,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),11.7,12.1,12.1,14.9,14.9,18.0,19.1,25.0,25.3,24.6,24.8,27.4
9,813,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
9,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),9.7,12.5,15.1,19.0,21.5,24.2,27.3,30.0,33.0,38.4,42.0,45.1
10,457,WL/360 (kN/m),2,2,3,4,4,4,5,5,6,7,7,8
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
10,,Self Wt (kg/m),10.0,11.9,15.1,17.2,19.5,22.5,25.7,27.1,30.4,33.4,38.9,41.6
10,508,WL/360 (kN/m),2,3,3,4,4,5,6,6,7,8,8,9
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),10.1,12.1,13.4,16.1,19.3,20.7,23.9,26.3,27.5,30.7,32.8,36.7
10,559,WL/360 (kN/m),2,3,4,5,5,5,7,7,7,8,9,10
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),10.2,11.7,13.4,15.6,17.8,20.0,22.2,24.7,26.9,27.7,30.4,31.6
10,610,WL/360 (kN/m),3,3,4,5,6,7,8,8,8,9,10,10
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),10.2,10.6,12.6,15.7,16.5,20.1,21.2,23.9,26.6,26.9,29.9,31.6
10,660,WL/360 (kN/m),3,4,4,6,6,7,8,9,10,10,11,12
10,,Bridg. (H/X/EX),2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
